@relation 'Alzh_test-weka.filters.unsupervised.attribute.Remove-R1-5,7-16'

@attribute Topic numeric
@attribute Stratification2 numeric
@attribute Geolocation numeric
@attribute Class {'Overall Health','Cognitive Decline','Screenings and Vaccines',Caregiving,'Smoking and Alcohol Use','Mental Health','Nutrition/Physical Activity/Obesity'}

@data
9,6,3,'Nutrition/Physical Activity/Obesity'
4,4,3,'Screenings and Vaccines'
10,7,39,'Screenings and Vaccines'
15,6,23,'Smoking and Alcohol Use'
2,1,54,'Overall Health'
19,4,35,'Overall Health'
36,6,35,'Screenings and Vaccines'
29,1,9,'Overall Health'
29,6,54,'Overall Health'
16,6,22,'Mental Health'
15,6,9,'Smoking and Alcohol Use'
37,5,9,'Screenings and Vaccines'
17,5,14,'Cognitive Decline'
16,1,40,'Mental Health'
21,2,3,'Overall Health'
21,5,12,'Overall Health'
20,5,20,'Overall Health'
1,5,13,'Mental Health'
9,2,12,'Nutrition/Physical Activity/Obesity'
33,6,45,'Nutrition/Physical Activity/Obesity'
32,3,6,'Nutrition/Physical Activity/Obesity'
13,7,13,'Screenings and Vaccines'
2,7,12,'Overall Health'
24,5,45,Caregiving
7,6,24,'Screenings and Vaccines'
38,1,19,'Overall Health'
16,6,38,'Mental Health'
5,7,29,'Screenings and Vaccines'
21,6,51,'Overall Health'
12,2,47,'Smoking and Alcohol Use'
1,5,30,'Mental Health'
17,3,11,'Cognitive Decline'
4,1,30,'Screenings and Vaccines'
2,7,26,'Overall Health'
39,2,34,'Overall Health'
1,3,11,'Mental Health'
17,6,40,'Cognitive Decline'
2,7,20,'Overall Health'
23,3,33,Caregiving
13,2,21,'Screenings and Vaccines'
16,4,47,'Mental Health'
36,1,24,'Screenings and Vaccines'
17,4,39,'Cognitive Decline'
4,3,13,'Screenings and Vaccines'
31,1,4,'Cognitive Decline'
29,7,43,'Overall Health'
35,4,30,'Overall Health'
12,1,30,'Smoking and Alcohol Use'
34,6,4,'Overall Health'
10,6,21,'Screenings and Vaccines'
16,4,49,'Mental Health'
26,2,38,Caregiving
3,1,6,'Overall Health'
9,6,24,'Nutrition/Physical Activity/Obesity'
18,7,39,'Cognitive Decline'
11,7,7,'Nutrition/Physical Activity/Obesity'
25,6,39,Caregiving
9,1,3,'Nutrition/Physical Activity/Obesity'
22,2,52,'Overall Health'
13,2,1,'Screenings and Vaccines'
12,6,12,'Smoking and Alcohol Use'
19,5,28,'Overall Health'
29,7,1,'Overall Health'
24,2,39,Caregiving
31,7,51,'Cognitive Decline'
12,6,14,'Smoking and Alcohol Use'
36,4,21,'Screenings and Vaccines'
29,4,27,'Overall Health'
29,4,12,'Overall Health'
17,5,28,'Cognitive Decline'
10,6,21,'Screenings and Vaccines'
26,3,46,Caregiving
31,4,39,'Cognitive Decline'
5,5,6,'Screenings and Vaccines'
16,1,27,'Mental Health'
2,7,14,'Overall Health'
16,6,4,'Mental Health'
16,5,51,'Mental Health'
34,6,43,'Overall Health'
16,2,9,'Mental Health'
28,2,32,'Overall Health'
15,4,35,'Smoking and Alcohol Use'
1,3,48,'Mental Health'
29,2,12,'Overall Health'
1,6,39,'Mental Health'
4,1,11,'Screenings and Vaccines'
9,3,1,'Nutrition/Physical Activity/Obesity'
39,6,46,'Overall Health'
16,2,9,'Mental Health'
11,7,12,'Nutrition/Physical Activity/Obesity'
22,2,43,'Overall Health'
19,3,6,'Overall Health'
5,2,36,'Screenings and Vaccines'
35,5,51,'Overall Health'
18,6,10,'Cognitive Decline'
11,6,49,'Nutrition/Physical Activity/Obesity'
31,1,9,'Cognitive Decline'
2,6,45,'Overall Health'
11,4,46,'Nutrition/Physical Activity/Obesity'
32,3,35,'Nutrition/Physical Activity/Obesity'
4,5,16,'Screenings and Vaccines'
18,1,39,'Cognitive Decline'
17,7,39,'Cognitive Decline'
21,7,39,'Overall Health'
15,2,4,'Smoking and Alcohol Use'
14,6,52,'Screenings and Vaccines'
14,5,35,'Screenings and Vaccines'
3,7,4,'Overall Health'
32,1,18,'Nutrition/Physical Activity/Obesity'
14,1,22,'Screenings and Vaccines'
8,1,21,'Screenings and Vaccines'
1,6,2,'Mental Health'
30,4,39,'Cognitive Decline'
27,6,39,Caregiving
23,1,41,Caregiving
38,6,46,'Overall Health'
19,6,1,'Overall Health'
30,4,6,'Cognitive Decline'
13,1,14,'Screenings and Vaccines'
28,2,48,'Overall Health'
8,5,31,'Screenings and Vaccines'
32,6,19,'Nutrition/Physical Activity/Obesity'
11,5,12,'Nutrition/Physical Activity/Obesity'
22,3,49,'Overall Health'
35,2,12,'Overall Health'
15,7,41,'Smoking and Alcohol Use'
19,7,28,'Overall Health'
39,4,33,'Overall Health'
11,6,15,'Nutrition/Physical Activity/Obesity'
31,7,10,'Cognitive Decline'
15,5,6,'Smoking and Alcohol Use'
39,2,17,'Overall Health'
8,5,19,'Screenings and Vaccines'
8,1,19,'Screenings and Vaccines'
24,7,26,Caregiving
18,6,5,'Cognitive Decline'
30,5,39,'Cognitive Decline'
35,6,24,'Overall Health'
16,6,42,'Mental Health'
11,5,28,'Nutrition/Physical Activity/Obesity'
2,6,10,'Overall Health'
31,7,36,'Cognitive Decline'
3,3,19,'Overall Health'
38,4,52,'Overall Health'
17,1,23,'Cognitive Decline'
6,7,39,'Screenings and Vaccines'
20,7,33,'Overall Health'
24,1,39,Caregiving
27,6,21,Caregiving
20,4,49,'Overall Health'
39,1,31,'Overall Health'
28,7,23,'Overall Health'
38,5,20,'Overall Health'
18,4,50,'Cognitive Decline'
5,5,5,'Screenings and Vaccines'
8,7,49,'Screenings and Vaccines'
1,1,23,'Mental Health'
4,7,9,'Screenings and Vaccines'
34,2,27,'Overall Health'
34,7,37,'Overall Health'
23,1,12,Caregiving
15,1,1,'Smoking and Alcohol Use'
7,3,46,'Screenings and Vaccines'
30,6,2,'Cognitive Decline'
6,7,33,'Screenings and Vaccines'
29,1,47,'Overall Health'
7,7,53,'Screenings and Vaccines'
39,5,15,'Overall Health'
17,4,39,'Cognitive Decline'
28,2,12,'Overall Health'
22,7,14,'Overall Health'
19,6,39,'Overall Health'
38,4,3,'Overall Health'
8,3,25,'Screenings and Vaccines'
33,6,37,'Nutrition/Physical Activity/Obesity'
12,7,2,'Smoking and Alcohol Use'
38,2,20,'Overall Health'
22,6,12,'Overall Health'
15,2,31,'Smoking and Alcohol Use'
4,6,41,'Screenings and Vaccines'
30,5,39,'Cognitive Decline'
13,2,36,'Screenings and Vaccines'
16,6,10,'Mental Health'
4,5,51,'Screenings and Vaccines'
12,7,50,'Smoking and Alcohol Use'
29,6,12,'Overall Health'
12,4,9,'Smoking and Alcohol Use'
13,6,54,'Screenings and Vaccines'
37,6,49,'Screenings and Vaccines'
14,1,30,'Screenings and Vaccines'
9,2,15,'Nutrition/Physical Activity/Obesity'
31,6,18,'Cognitive Decline'
11,6,2,'Nutrition/Physical Activity/Obesity'
29,6,50,'Overall Health'
2,6,29,'Overall Health'
31,7,7,'Cognitive Decline'
2,1,52,'Overall Health'
1,6,27,'Mental Health'
24,2,38,Caregiving
13,2,40,'Screenings and Vaccines'
15,3,8,'Smoking and Alcohol Use'
35,1,30,'Overall Health'
31,5,17,'Cognitive Decline'
33,7,14,'Nutrition/Physical Activity/Obesity'
22,6,12,'Overall Health'
35,2,15,'Overall Health'
6,5,7,'Screenings and Vaccines'
30,4,25,'Cognitive Decline'
16,1,16,'Mental Health'
27,2,17,Caregiving
1,5,29,'Mental Health'
4,6,12,'Screenings and Vaccines'
16,2,47,'Mental Health'
34,5,14,'Overall Health'
23,2,23,Caregiving
15,7,41,'Smoking and Alcohol Use'
24,7,39,Caregiving
27,7,22,Caregiving
25,1,53,Caregiving
14,5,21,'Screenings and Vaccines'
20,5,41,'Overall Health'
34,6,31,'Overall Health'
32,3,52,'Nutrition/Physical Activity/Obesity'
23,3,39,Caregiving
15,2,48,'Smoking and Alcohol Use'
5,2,51,'Screenings and Vaccines'
19,3,20,'Overall Health'
15,6,27,'Smoking and Alcohol Use'
14,3,22,'Screenings and Vaccines'
10,1,54,'Screenings and Vaccines'
34,5,45,'Overall Health'
13,5,22,'Screenings and Vaccines'
2,7,32,'Overall Health'
23,2,4,Caregiving
14,3,14,'Screenings and Vaccines'
38,6,27,'Overall Health'
33,1,12,'Nutrition/Physical Activity/Obesity'
12,5,38,'Smoking and Alcohol Use'
34,5,5,'Overall Health'
19,1,2,'Overall Health'
11,2,10,'Nutrition/Physical Activity/Obesity'
31,6,9,'Cognitive Decline'
22,7,40,'Overall Health'
30,2,39,'Cognitive Decline'
4,5,46,'Screenings and Vaccines'
4,6,32,'Screenings and Vaccines'
23,6,24,Caregiving
29,1,42,'Overall Health'
36,1,33,'Screenings and Vaccines'
5,2,48,'Screenings and Vaccines'
34,6,42,'Overall Health'
16,7,38,'Mental Health'
36,2,50,'Screenings and Vaccines'
27,6,39,Caregiving
9,2,26,'Nutrition/Physical Activity/Obesity'
23,5,33,Caregiving
36,1,21,'Screenings and Vaccines'
2,7,12,'Overall Health'
31,5,39,'Cognitive Decline'
17,5,39,'Cognitive Decline'
12,5,26,'Smoking and Alcohol Use'
11,7,12,'Nutrition/Physical Activity/Obesity'
26,5,39,Caregiving
30,4,25,'Cognitive Decline'
35,5,50,'Overall Health'
5,5,29,'Screenings and Vaccines'
23,7,3,Caregiving
19,7,4,'Overall Health'
23,1,16,Caregiving
29,4,4,'Overall Health'
9,6,22,'Nutrition/Physical Activity/Obesity'
5,3,37,'Screenings and Vaccines'
1,3,50,'Mental Health'
16,2,32,'Mental Health'
39,1,12,'Overall Health'
23,2,39,Caregiving
37,6,11,'Screenings and Vaccines'
22,6,12,'Overall Health'
7,5,26,'Screenings and Vaccines'
26,6,25,Caregiving
13,7,17,'Screenings and Vaccines'
20,7,37,'Overall Health'
8,5,8,'Screenings and Vaccines'
20,3,26,'Overall Health'
14,4,11,'Screenings and Vaccines'
37,4,3,'Screenings and Vaccines'
14,3,39,'Screenings and Vaccines'
13,6,21,'Screenings and Vaccines'
29,1,34,'Overall Health'
23,6,21,Caregiving
11,4,52,'Nutrition/Physical Activity/Obesity'
25,5,18,Caregiving
16,2,31,'Mental Health'
31,2,46,'Cognitive Decline'
12,7,6,'Smoking and Alcohol Use'
36,5,11,'Screenings and Vaccines'
35,5,22,'Overall Health'
20,2,22,'Overall Health'
17,4,10,'Cognitive Decline'
34,2,12,'Overall Health'
29,6,1,'Overall Health'
35,1,35,'Overall Health'
15,6,3,'Smoking and Alcohol Use'
22,2,28,'Overall Health'
15,5,27,'Smoking and Alcohol Use'
20,2,29,'Overall Health'
1,3,6,'Mental Health'
13,6,26,'Screenings and Vaccines'
16,6,10,'Mental Health'
28,6,38,'Overall Health'
29,4,8,'Overall Health'
7,7,24,'Screenings and Vaccines'
12,6,33,'Smoking and Alcohol Use'
20,5,50,'Overall Health'
25,6,45,Caregiving
36,2,15,'Screenings and Vaccines'
20,1,7,'Overall Health'
13,5,48,'Screenings and Vaccines'
9,6,25,'Nutrition/Physical Activity/Obesity'
22,6,38,'Overall Health'
24,4,10,Caregiving
12,7,24,'Smoking and Alcohol Use'
7,7,43,'Screenings and Vaccines'
12,4,11,'Smoking and Alcohol Use'
17,2,2,'Cognitive Decline'
23,2,35,Caregiving
4,2,36,'Screenings and Vaccines'
34,1,33,'Overall Health'
7,2,41,'Screenings and Vaccines'
5,2,21,'Screenings and Vaccines'
20,2,12,'Overall Health'
28,5,3,'Overall Health'
4,5,10,'Screenings and Vaccines'
20,2,3,'Overall Health'
36,4,49,'Screenings and Vaccines'
16,3,11,'Mental Health'
11,6,38,'Nutrition/Physical Activity/Obesity'
4,5,3,'Screenings and Vaccines'
16,1,53,'Mental Health'
38,4,12,'Overall Health'
1,1,40,'Mental Health'
1,6,19,'Mental Health'
2,6,27,'Overall Health'
27,4,16,Caregiving
9,1,18,'Nutrition/Physical Activity/Obesity'
10,1,3,'Screenings and Vaccines'
25,6,39,Caregiving
5,3,21,'Screenings and Vaccines'
33,1,34,'Nutrition/Physical Activity/Obesity'
22,6,22,'Overall Health'
12,3,30,'Smoking and Alcohol Use'
32,7,3,'Nutrition/Physical Activity/Obesity'
36,3,2,'Screenings and Vaccines'
37,1,38,'Screenings and Vaccines'
24,1,12,Caregiving
16,6,46,'Mental Health'
16,6,17,'Mental Health'
19,3,47,'Overall Health'
9,5,43,'Nutrition/Physical Activity/Obesity'
11,7,32,'Nutrition/Physical Activity/Obesity'
22,1,30,'Overall Health'
10,1,19,'Screenings and Vaccines'
17,3,7,'Cognitive Decline'
20,2,30,'Overall Health'
30,5,39,'Cognitive Decline'
20,5,5,'Overall Health'
28,6,41,'Overall Health'
24,6,39,Caregiving
36,3,21,'Screenings and Vaccines'
28,2,31,'Overall Health'
22,3,26,'Overall Health'
30,7,31,'Cognitive Decline'
16,2,8,'Mental Health'
27,7,6,Caregiving
13,1,27,'Screenings and Vaccines'
13,5,25,'Screenings and Vaccines'
28,6,29,'Overall Health'
27,5,9,Caregiving
20,6,35,'Overall Health'
7,3,37,'Screenings and Vaccines'
9,2,24,'Nutrition/Physical Activity/Obesity'
4,3,18,'Screenings and Vaccines'
13,1,28,'Screenings and Vaccines'
37,6,43,'Screenings and Vaccines'
37,3,5,'Screenings and Vaccines'
12,5,11,'Smoking and Alcohol Use'
20,2,22,'Overall Health'
37,7,41,'Screenings and Vaccines'
29,1,46,'Overall Health'
16,1,16,'Mental Health'
27,6,19,Caregiving
22,7,40,'Overall Health'
16,4,50,'Mental Health'
25,6,39,Caregiving
27,7,9,Caregiving
34,2,33,'Overall Health'
30,7,39,'Cognitive Decline'
29,7,50,'Overall Health'
9,1,42,'Nutrition/Physical Activity/Obesity'
12,7,3,'Smoking and Alcohol Use'
24,6,10,Caregiving
17,7,39,'Cognitive Decline'
19,1,26,'Overall Health'
23,4,37,Caregiving
9,5,20,'Nutrition/Physical Activity/Obesity'
19,4,15,'Overall Health'
5,1,21,'Screenings and Vaccines'
36,1,12,'Screenings and Vaccines'
5,7,22,'Screenings and Vaccines'
16,6,8,'Mental Health'
3,5,12,'Overall Health'
11,5,16,'Nutrition/Physical Activity/Obesity'
34,7,14,'Overall Health'
18,5,39,'Cognitive Decline'
30,3,17,'Cognitive Decline'
15,6,7,'Smoking and Alcohol Use'
21,7,44,'Overall Health'
25,4,9,Caregiving
22,6,43,'Overall Health'
13,7,33,'Screenings and Vaccines'
2,2,26,'Overall Health'
27,1,9,Caregiving
34,6,12,'Overall Health'
24,7,11,Caregiving
34,3,48,'Overall Health'
29,2,20,'Overall Health'
1,2,33,'Mental Health'
35,1,8,'Overall Health'
38,2,36,'Overall Health'
10,5,47,'Screenings and Vaccines'
34,5,21,'Overall Health'
35,4,32,'Overall Health'
21,5,41,'Overall Health'
27,1,37,Caregiving
14,5,24,'Screenings and Vaccines'
17,1,10,'Cognitive Decline'
14,2,7,'Screenings and Vaccines'
2,5,28,'Overall Health'
22,3,10,'Overall Health'
23,5,39,Caregiving
1,6,10,'Mental Health'
13,7,34,'Screenings and Vaccines'
22,7,40,'Overall Health'
1,6,14,'Mental Health'
38,1,31,'Overall Health'
11,4,36,'Nutrition/Physical Activity/Obesity'
4,3,44,'Screenings and Vaccines'
15,1,11,'Smoking and Alcohol Use'
16,3,32,'Mental Health'
29,3,31,'Overall Health'
19,5,2,'Overall Health'
31,2,13,'Cognitive Decline'
11,7,37,'Nutrition/Physical Activity/Obesity'
36,3,40,'Screenings and Vaccines'
15,3,39,'Smoking and Alcohol Use'
1,6,52,'Mental Health'
6,1,7,'Screenings and Vaccines'
25,3,1,Caregiving
18,7,51,'Cognitive Decline'
6,1,3,'Screenings and Vaccines'
16,6,13,'Mental Health'
21,1,20,'Overall Health'
14,5,11,'Screenings and Vaccines'
6,3,8,'Screenings and Vaccines'
19,4,12,'Overall Health'
19,5,12,'Overall Health'
16,1,47,'Mental Health'
12,6,48,'Smoking and Alcohol Use'
1,5,3,'Mental Health'
30,2,20,'Cognitive Decline'
39,5,43,'Overall Health'
12,4,46,'Smoking and Alcohol Use'
26,3,25,Caregiving
22,3,48,'Overall Health'
19,2,11,'Overall Health'
13,3,18,'Screenings and Vaccines'
35,1,12,'Overall Health'
7,7,27,'Screenings and Vaccines'
2,6,6,'Overall Health'
36,6,23,'Screenings and Vaccines'
2,3,13,'Overall Health'
28,3,18,'Overall Health'
23,6,39,Caregiving
10,5,28,'Screenings and Vaccines'
7,5,21,'Screenings and Vaccines'
19,6,46,'Overall Health'
20,6,46,'Overall Health'
31,5,9,'Cognitive Decline'
4,7,43,'Screenings and Vaccines'
27,4,39,Caregiving
16,4,31,'Mental Health'
9,1,3,'Nutrition/Physical Activity/Obesity'
