@relation 'Alzh_test-weka.filters.unsupervised.attribute.Remove-R1-5,8-10,14-17-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute Data_Value numeric
@attribute Low_Confidence_Limit numeric
@attribute High_Confidence_Limit numeric
@attribute Geolocation numeric
@attribute Class {'Overall Health','Cognitive Decline','Screenings and Vaccines',Caregiving,'Smoking and Alcohol Use','Mental Health','Nutrition/Physical Activity/Obesity'}

@data
0.075433,0.107494,0.032443,13,'Overall Health'
-0.043893,-0.209158,0.132583,4,'Overall Health'
-1.434212,-1.296939,-1.576526,20,'Overall Health'
-0.124103,-0.260075,0.020651,27,Caregiving
0.45074,0.61015,0.29187,21,'Screenings and Vaccines'
0.997942,1.004426,0.96825,45,'Screenings and Vaccines'
0.075433,0.107494,0.032443,30,'Overall Health'
0.075433,0.107494,0.032443,14,'Overall Health'
-0.119647,0.00377,-0.246262,20,'Overall Health'
-1.247053,-1.134929,-1.361273,16,'Cognitive Decline'
1.390988,1.586838,1.195933,12,'Screenings and Vaccines'
-0.2044,-0.28392,-0.097691,36,Caregiving
0.075433,0.107494,0.032443,10,'Overall Health'
1.05232,0.809191,1.230373,29,'Screenings and Vaccines'
-1.117744,-1.0579,-1.160363,46,'Smoking and Alcohol Use'
-0.253332,-0.1999,-0.306533,11,'Overall Health'
2.482745,2.730166,2.233452,12,'Screenings and Vaccines'
-1.394106,-1.283052,-1.50334,6,'Mental Health'
-1.117744,-1.0579,-1.160363,22,'Smoking and Alcohol Use'
0.963197,1.059149,0.864443,45,'Overall Health'
1.555865,1.026747,1.828777,21,'Overall Health'
-0.569718,-0.810909,-0.216127,34,'Nutrition/Physical Activity/Obesity'
1.934638,2.054353,1.794336,5,'Overall Health'
1.047864,0.77216,1.247593,21,'Screenings and Vaccines'
-1.055439,-0.977548,-1.133105,2,'Mental Health'
0.214564,0.00377,0.429632,31,'Cognitive Decline'
-1.407475,-1.398774,-1.430154,9,'Overall Health'
-1.022543,-0.968484,-1.057809,13,'Mental Health'
-0.264658,-0.447356,-0.051172,19,'Cognitive Decline'
-1.022543,-0.968484,-1.057809,36,'Mental Health'
-1.082176,-0.996063,-1.16324,3,'Smoking and Alcohol Use'
0.718109,0.832335,0.597529,14,'Screenings and Vaccines'
0.695828,0.651809,0.718071,21,'Screenings and Vaccines'
0.317056,0.32779,0.296175,18,'Screenings and Vaccines'
-0.248876,-0.153611,-0.345279,12,'Nutrition/Physical Activity/Obesity'
0.495302,0.559232,0.425327,32,'Screenings and Vaccines'
0.718109,0.239841,1.127052,44,'Screenings and Vaccines'
0.192283,-0.1999,0.601834,7,'Nutrition/Physical Activity/Obesity'
-1.095544,-1.019208,-1.167545,2,'Mental Health'
-0.970772,-0.884971,-1.055614,32,'Smoking and Alcohol Use'
-1.452036,-1.320083,-1.593746,15,'Overall Health'
-1.126737,-1.037723,-1.219206,11,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,36,'Screenings and Vaccines'
-1.022543,-0.968484,-1.057809,15,'Mental Health'
-0.979684,-0.954404,-0.986733,50,'Mental Health'
-1.518878,-1.41266,-1.606662,10,'Smoking and Alcohol Use'
-0.605368,-0.56558,-0.642328,17,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,35,'Overall Health'
-0.770245,-1.005321,-0.366804,17,'Overall Health'
1.546953,1.70256,1.385355,39,Caregiving
1.778673,1.188757,2.018199,43,'Screenings and Vaccines'
-0.324246,-0.3228,-0.315909,50,'Nutrition/Physical Activity/Obesity'
-1.416387,-1.296939,-1.546391,41,'Overall Health'
-0.823719,-0.838682,-0.78009,6,'Overall Health'
0.997942,1.004426,0.96825,17,'Screenings and Vaccines'
-0.404841,-0.556322,-0.216127,4,'Cognitive Decline'
0.094248,0.239841,-0.052535,9,'Overall Health'
-0.364735,-0.408199,-0.315143,25,Caregiving
-0.231051,-0.148983,-0.310838,38,'Nutrition/Physical Activity/Obesity'
-1.117744,-1.0579,-1.160363,39,'Smoking and Alcohol Use'
-0.264658,-0.447356,-0.051172,50,'Cognitive Decline'
1.729655,1.883085,1.570473,36,'Overall Health'
-0.360279,-0.232302,-0.491651,4,'Screenings and Vaccines'
0.33488,0.494428,0.175633,35,'Overall Health'
-0.324246,-0.3228,-0.315909,40,'Nutrition/Physical Activity/Obesity'
-0.81035,-0.699816,-0.926462,11,Caregiving
-0.444946,-0.389683,-0.495956,35,'Screenings and Vaccines'
-0.15084,-0.088808,-0.211822,37,'Nutrition/Physical Activity/Obesity'
0.628986,0.721242,0.528648,10,'Screenings and Vaccines'
-0.186489,-0.310993,-0.04823,18,'Overall Health'
-0.324246,-0.3228,-0.315909,52,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,15,'Overall Health'
1.627164,1.716446,1.514507,52,Caregiving
2.567411,2.781083,2.336774,21,'Screenings and Vaccines'
1.903445,1.776621,1.914878,18,'Screenings and Vaccines'
0.366073,0.475913,0.25743,22,'Screenings and Vaccines'
-1.465405,-1.352485,-1.589441,53,'Overall Health'
-1.282702,-1.259908,-1.253647,33,Caregiving
0.075433,0.107494,0.032443,28,'Overall Health'
-1.189123,-1.213619,-1.085749,50,'Overall Health'
-1.024246,-1.134929,-0.78009,4,'Cognitive Decline'
0.075433,0.107494,0.032443,38,'Overall Health'
0.075433,0.107494,0.032443,31,'Overall Health'
-1.022543,-0.968484,-1.057809,53,'Mental Health'
-0.264658,-0.447356,-0.051172,37,'Cognitive Decline'
-1.313895,-1.232135,-1.408629,23,'Overall Health'
0.718109,0.832335,0.601834,5,'Overall Health'
-0.217683,-0.551693,0.192854,30,'Cognitive Decline'
0.997942,1.004426,0.96825,28,'Screenings and Vaccines'
-0.462771,-0.449858,-0.474431,37,'Overall Health'
0.13881,0.225955,0.050787,48,'Overall Health'
-0.324246,-0.3228,-0.315909,25,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,5,'Screenings and Vaccines'
-1.469861,-1.324712,-1.615272,15,'Overall Health'
-1.104456,-1.093269,-1.085749,10,'Smoking and Alcohol Use'
0.075433,0.107494,0.032443,31,'Overall Health'
0.940917,1.105437,0.778342,32,'Screenings and Vaccines'
0.997942,1.004426,0.96825,36,'Screenings and Vaccines'
0.120985,-1.255279,1.970844,39,'Cognitive Decline'
-1.38965,-1.255279,-1.533475,50,'Overall Health'
0.107616,0.179666,0.033566,12,'Overall Health'
0.976566,1.003603,0.933324,34,'Screenings and Vaccines'
1.74748,1.49889,1.845997,20,'Screenings and Vaccines'
-1.022543,-0.968484,-1.057809,30,'Mental Health'
0.075433,0.107494,0.032443,31,'Overall Health'
-0.20877,-0.352652,-0.035315,26,'Nutrition/Physical Activity/Obesity'
1.440005,1.596096,1.282034,35,'Screenings and Vaccines'
-1.420843,-1.315454,-1.533475,27,'Overall Health'
0.075433,0.107494,0.032443,27,'Overall Health'
-0.899473,-0.773878,-1.034088,5,'Mental Health'
-0.814807,-1.093269,-0.293618,39,Caregiving
-0.264658,-0.447356,-0.051172,11,'Cognitive Decline'
0.379442,0.522201,0.240209,15,'Screenings and Vaccines'
0.997942,1.004426,0.96825,27,'Screenings and Vaccines'
-0.204314,-0.260075,-0.138636,37,'Cognitive Decline'
-1.117744,-1.0579,-1.160363,18,'Smoking and Alcohol Use'
-1.117744,-1.0579,-1.160363,1,'Smoking and Alcohol Use'
0.432915,0.563861,0.304785,31,'Overall Health'
0.174459,-0.084179,0.442547,1,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,8,'Overall Health'
-0.600911,-0.486889,-0.715514,30,'Mental Health'
0.075433,0.107494,0.032443,22,'Overall Health'
1.074601,1.068406,1.062476,23,'Overall Health'
1.199373,1.369282,1.03234,30,'Overall Health'
-1.523335,-1.403403,-1.636797,7,'Smoking and Alcohol Use'
0.014037,-0.014746,0.042177,21,'Screenings and Vaccines'
0.054143,-0.519291,0.713766,10,'Cognitive Decline'
-1.022543,-0.968484,-1.057809,25,'Mental Health'
-0.20877,-0.204529,-0.203212,22,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,4,'Overall Health'
1.395444,1.355396,1.393965,36,'Screenings and Vaccines'
-1.022543,-0.968484,-1.057809,35,'Mental Health'
-0.324246,-0.3228,-0.315909,38,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,43,'Overall Health'
-1.336176,-1.347856,-1.197681,39,'Cognitive Decline'
0.997942,1.004426,0.96825,46,'Screenings and Vaccines'
-0.311262,-0.394312,-0.211822,12,'Nutrition/Physical Activity/Obesity'
-0.324246,-0.3228,-0.315909,46,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,38,'Screenings and Vaccines'
-0.418209,-0.306364,-0.530396,28,'Nutrition/Physical Activity/Obesity'
0.379442,0.119491,0.63197,39,'Cognitive Decline'
-0.453858,-0.505405,-0.384024,27,Caregiving
0.075433,0.107494,0.032443,30,'Overall Health'
0.495302,0.295388,0.670715,38,'Nutrition/Physical Activity/Obesity'
-0.667754,-0.611868,-0.719819,16,'Nutrition/Physical Activity/Obesity'
-0.395929,-0.463745,-0.310838,43,'Smoking and Alcohol Use'
0.075433,0.107494,0.032443,28,'Overall Health'
2.571868,2.813485,2.323859,45,'Overall Health'
-0.565262,-0.801651,-0.220432,7,'Smoking and Alcohol Use'
1.484567,1.563694,1.385355,36,'Overall Health'
-0.756877,-0.935888,-0.465821,14,'Mental Health'
0.997942,1.004426,0.96825,41,'Screenings and Vaccines'
0.075433,0.107494,0.032443,11,'Overall Health'
-1.117744,-1.0579,-1.160363,53,'Smoking and Alcohol Use'
-1.068807,-1.05161,-1.055614,25,Caregiving
0.040774,-0.121209,0.205769,12,'Nutrition/Physical Activity/Obesity'
-0.774701,-0.672043,-0.879106,33,'Mental Health'
0.490845,0.151893,0.804172,54,'Overall Health'
-0.324246,-0.3228,-0.315909,3,'Nutrition/Physical Activity/Obesity'
-0.957403,-0.84794,-1.064224,36,'Mental Health'
-1.425299,-1.29231,-1.563611,6,'Overall Health'
-1.327264,-1.246021,-1.395714,16,'Smoking and Alcohol Use'
-0.324246,-0.3228,-0.315909,26,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,27,'Overall Health'
-0.966316,-0.959032,-0.952292,21,'Mental Health'
0.997942,1.004426,0.96825,31,'Screenings and Vaccines'
0.075433,0.107494,0.032443,46,'Overall Health'
-0.257788,-0.15824,-0.362499,3,'Nutrition/Physical Activity/Obesity'
1.243935,1.290592,1.178712,3,'Screenings and Vaccines'
0.997942,1.004426,0.96825,39,'Screenings and Vaccines'
-1.077719,-1.014579,-1.133105,23,'Smoking and Alcohol Use'
0.259126,-0.375797,0.929019,54,'Overall Health'
-0.623192,-0.560951,-0.681074,35,'Overall Health'
2.478288,2.725537,2.229147,35,'Screenings and Vaccines'
0.075433,0.107494,0.032443,9,'Overall Health'
-0.173121,-0.125838,-0.224737,54,'Overall Health'
-0.485052,-0.408199,-0.556227,22,'Mental Health'
-1.313895,-1.195104,-1.430154,9,'Smoking and Alcohol Use'
0.076423,0.207439,-0.05684,9,'Screenings and Vaccines'
-0.493964,-0.510033,-0.465821,14,'Cognitive Decline'
-1.022543,-0.968484,-1.057809,40,'Mental Health'
0.075433,0.107494,0.032443,3,'Overall Health'
1.63162,1.809023,1.454236,12,'Overall Health'
1.74748,1.906229,1.583388,20,'Overall Health'
-1.255966,-1.121042,-1.391409,13,'Mental Health'
-1.21586,-1.218248,-1.158935,12,'Nutrition/Physical Activity/Obesity'
-1.336176,-1.264537,-1.391409,45,'Nutrition/Physical Activity/Obesity'
-0.324246,-0.3228,-0.315909,6,'Nutrition/Physical Activity/Obesity'
0.5666,0.16578,0.929019,13,'Screenings and Vaccines'
0.424003,0.300016,0.532953,12,'Overall Health'
-0.2044,-0.28392,-0.097691,45,Caregiving
1.34197,1.355396,1.299254,24,'Screenings and Vaccines'
0.075433,0.107494,0.032443,19,'Overall Health'
-0.685578,-0.593353,-0.77148,38,'Mental Health'
-0.061717,-0.459116,0.399497,29,'Screenings and Vaccines'
1.471198,1.651642,1.290644,51,'Overall Health'
-1.117744,-1.0579,-1.160363,47,'Smoking and Alcohol Use'
-0.944035,-0.834053,-1.051309,30,'Mental Health'
-0.264658,-0.447356,-0.051172,11,'Cognitive Decline'
0.997942,1.004426,0.96825,30,'Screenings and Vaccines'
0.780495,0.475913,1.03234,26,'Overall Health'
0.075433,0.107494,0.032443,34,'Overall Health'
-1.022543,-0.968484,-1.057809,11,'Mental Health'
-0.418209,-0.574837,-0.211822,40,'Cognitive Decline'
0.075433,0.107494,0.032443,20,'Overall Health'
-0.2044,-0.28392,-0.097691,33,Caregiving
0.997942,1.004426,0.96825,21,'Screenings and Vaccines'
-1.046526,-1.005321,-1.072834,47,'Mental Health'
0.997942,1.004426,0.96825,24,'Screenings and Vaccines'
-0.645473,-0.931259,-0.190297,39,'Cognitive Decline'
1.03004,0.702727,1.269119,13,'Screenings and Vaccines'
-0.264658,-0.447356,-0.051172,4,'Cognitive Decline'
0.075433,0.107494,0.032443,43,'Overall Health'
-1.327264,-1.195104,-1.4689,30,'Overall Health'
-1.117744,-1.0579,-1.160363,30,'Smoking and Alcohol Use'
2.482745,2.748681,2.224842,4,'Overall Health'
1.497935,1.711817,1.286339,21,'Screenings and Vaccines'
-1.193579,-1.116414,-1.262257,49,'Mental Health'
-0.2044,-0.28392,-0.097691,38,Caregiving
0.075433,0.107494,0.032443,6,'Overall Health'
0.272494,0.350934,0.188549,24,'Nutrition/Physical Activity/Obesity'
-0.106279,-0.24156,0.042177,39,'Cognitive Decline'
0.214564,-0.019375,0.446852,7,'Nutrition/Physical Activity/Obesity'
-0.043893,-0.093436,0.007736,39,Caregiving
-0.324246,-0.3228,-0.315909,3,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,52,'Overall Health'
0.997942,1.004426,0.96825,1,'Screenings and Vaccines'
-1.238141,-1.121042,-1.356968,12,'Smoking and Alcohol Use'
-0.948491,-0.857198,-1.042699,28,'Overall Health'
0.075433,0.107494,0.032443,1,'Overall Health'
2.513938,1.957147,2.422875,39,Caregiving
-0.264658,-0.447356,-0.051172,51,'Cognitive Decline'
-1.242597,-1.116414,-1.374188,14,'Smoking and Alcohol Use'
2.375797,2.586671,2.160266,21,'Screenings and Vaccines'
-0.003787,-0.088808,0.089532,27,'Overall Health'
-0.182033,-0.024004,-0.336669,12,'Overall Health'
-0.859368,-0.940517,-0.719819,28,'Cognitive Decline'
1.364251,1.591467,1.144272,21,'Screenings and Vaccines'
-0.832631,-1.046981,-0.444295,46,Caregiving
-0.182033,-0.223044,-0.142941,39,'Cognitive Decline'
0.562144,0.647181,0.476988,6,'Screenings and Vaccines'
-1.022543,-0.968484,-1.057809,27,'Mental Health'
-0.199858,-0.278591,-0.104195,14,'Overall Health'
-0.832631,-0.718332,-0.947987,4,'Mental Health'
-0.944035,-0.857198,-1.029783,51,'Mental Health'
2.037129,1.827539,2.065555,43,'Overall Health'
-1.022543,-0.968484,-1.057809,9,'Mental Health'
0.075433,0.107494,0.032443,32,'Overall Health'
-1.336176,-1.241393,-1.425849,35,'Smoking and Alcohol Use'
-1.022543,-0.968484,-1.057809,48,'Mental Health'
-0.418209,-0.602611,-0.173076,12,'Overall Health'
-1.126737,-1.037723,-1.210596,39,'Mental Health'
0.673548,0.138006,1.135662,11,'Screenings and Vaccines'
0.793864,0.624036,0.929019,1,'Nutrition/Physical Activity/Obesity'
-1.001965,-0.935888,-1.064224,46,'Overall Health'
-1.022543,-0.968484,-1.057809,9,'Mental Health'
0.067511,0.114862,0.020651,12,'Nutrition/Physical Activity/Obesity'
-1.469861,-1.421918,-1.52917,43,'Overall Health'
0.075433,0.107494,0.032443,6,'Overall Health'
0.997942,1.004426,0.96825,36,'Screenings and Vaccines'
-1.420843,-1.287681,-1.563611,51,'Overall Health'
0.397266,0.337047,0.446852,10,'Cognitive Decline'
-0.280069,-0.181385,-0.384024,49,'Nutrition/Physical Activity/Obesity'
-0.264658,-0.447356,-0.051172,9,'Cognitive Decline'
1.154812,1.299849,1.00651,45,'Overall Health'
-0.342455,-0.227673,-0.452905,46,'Nutrition/Physical Activity/Obesity'
-0.453858,-0.574837,-0.302228,35,'Nutrition/Physical Activity/Obesity'
1.021127,1.128582,0.907494,16,'Screenings and Vaccines'
1.453374,-0.329508,2.224842,39,'Cognitive Decline'
0.695828,0.235212,1.088306,39,'Cognitive Decline'
1.043408,0.836964,1.191628,39,'Overall Health'
-1.117744,-1.0579,-1.160363,4,'Smoking and Alcohol Use'
2.259937,2.489465,2.031114,52,'Screenings and Vaccines'
1.359795,1.49889,1.217458,35,'Screenings and Vaccines'
2.077235,1.94326,2.06986,4,'Overall Health'
-0.542981,-0.80628,-0.160161,18,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,22,'Screenings and Vaccines'
0.259126,-0.343395,0.894579,21,'Screenings and Vaccines'
-0.975228,-1.056238,-0.823141,2,'Mental Health'
-1.175755,-1.070125,-1.279477,39,'Cognitive Decline'
-1.166843,-1.097898,-1.232121,39,Caregiving
-0.2044,-0.28392,-0.097691,41,Caregiving
-0.422665,-0.366539,-0.474431,46,'Overall Health'
-0.828175,-0.732218,-0.926462,1,'Overall Health'
-1.269334,-1.222877,-1.288087,6,'Cognitive Decline'
0.250213,-0.24156,0.761122,14,'Screenings and Vaccines'
0.075433,0.107494,0.032443,48,'Overall Health'
0.807232,0.735129,0.855833,31,'Screenings and Vaccines'
0.201196,0.300016,0.098142,19,'Nutrition/Physical Activity/Obesity'
-0.609824,-0.500776,-0.724124,12,'Nutrition/Physical Activity/Obesity'
-1.474317,-1.389516,-1.572221,49,'Overall Health'
0.075433,0.107494,0.032443,12,'Overall Health'
-1.117744,-1.0579,-1.160363,41,'Smoking and Alcohol Use'
0.075433,0.107494,0.032443,28,'Overall Health'
-1.33172,-1.236764,-1.425849,33,'Overall Health'
-0.752421,-0.662786,-0.844666,15,'Nutrition/Physical Activity/Obesity'
-0.264658,-0.447356,-0.051172,10,'Cognitive Decline'
-0.801438,-0.699816,-0.900632,6,'Smoking and Alcohol Use'
0.075433,0.107494,0.032443,17,'Overall Health'
2.068323,2.207105,1.914878,19,'Screenings and Vaccines'
0.997942,1.004426,0.96825,19,'Screenings and Vaccines'
0.704741,0.193553,1.139967,26,Caregiving
-0.003787,-0.204529,0.214379,5,'Cognitive Decline'
-1.131193,-0.996063,-1.262257,39,'Cognitive Decline'
-1.349545,-1.218248,-1.490425,24,'Overall Health'
-0.92621,-0.829424,-1.025478,42,'Mental Health'
-0.306806,-0.186013,-0.43138,28,'Nutrition/Physical Activity/Obesity'
