@relation 'Alzh_test-weka.filters.unsupervised.attribute.Remove-R1-5,8-10,14-18-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute Data_Value numeric
@attribute Low_Confidence_Limit numeric
@attribute High_Confidence_Limit numeric
@attribute Class {'Overall Health','Cognitive Decline','Screenings and Vaccines',Caregiving,'Smoking and Alcohol Use','Mental Health','Nutrition/Physical Activity/Obesity'}

@data
0.678004,0.175037,1.114137,Caregiving
0.348249,0.475913,0.222989,'Screenings and Vaccines'
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
0.036318,0.059316,0.007736,'Overall Health'
2.562955,2.804227,2.315248,'Overall Health'
2.415902,2.586671,2.220537,'Overall Health'
1.63162,1.637756,1.579083,'Screenings and Vaccines'
-0.2044,-0.28392,-0.097691,Caregiving
-0.235507,-0.144354,-0.328059,'Nutrition/Physical Activity/Obesity'
2.469376,2.707021,2.229147,'Screenings and Vaccines'
-0.90393,-0.857198,-0.939377,Caregiving
1.63162,1.156355,1.863217,'Screenings and Vaccines'
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
-1.077719,-1.019208,-1.124495,'Mental Health'
1.497935,1.508148,1.454236,'Screenings and Vaccines'
-1.456492,-1.338599,-1.576526,'Overall Health'
2.054954,1.957147,2.031114,Caregiving
0.075433,0.107494,0.032443,'Overall Health'
-1.149018,-1.033094,-1.270867,'Nutrition/Physical Activity/Obesity'
-1.233685,-1.162702,-1.301002,'Overall Health'
-0.917298,-0.84794,-0.982428,'Mental Health'
0.147722,-0.357281,0.696546,'Overall Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-1.465405,-1.343227,-1.593746,'Overall Health'
-0.391472,-0.315621,-0.465821,'Overall Health'
1.872252,1.971033,1.751285,'Screenings and Vaccines'
2.090603,1.883085,2.108606,'Screenings and Vaccines'
-1.33172,-1.218248,-1.447374,'Mental Health'
0.075433,0.107494,0.032443,'Overall Health'
-1.278246,-1.158073,-1.400019,'Overall Health'
-1.022543,-0.968484,-1.057809,'Mental Health'
0.075433,0.107494,0.032443,'Overall Health'
0.10316,-0.098065,0.30909,'Cognitive Decline'
-1.443124,-1.33397,-1.555001,'Overall Health'
1.190461,1.235045,1.135662,'Screenings and Vaccines'
0.441828,0.198182,0.66641,'Screenings and Vaccines'
2.023761,2.077497,1.923488,'Overall Health'
-0.970772,-1.079383,-0.75426,'Mental Health'
-0.761333,-0.672043,-0.844666,'Smoking and Alcohol Use'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-0.574175,-0.491518,-0.659548,'Overall Health'
1.177092,-0.005488,1.897658,'Screenings and Vaccines'
1.043408,0.832335,1.187323,'Screenings and Vaccines'
-1.022543,-0.968484,-1.057809,'Mental Health'
-1.073263,-0.986806,-1.15463,'Smoking and Alcohol Use'
0.075433,0.107494,0.032443,'Overall Health'
-0.605368,-0.528549,-0.676768,'Overall Health'
-0.418209,-0.380425,-0.45721,'Nutrition/Physical Activity/Obesity'
0.504214,0.637923,0.373666,'Overall Health'
-0.96186,-0.852569,-1.072834,'Mental Health'
0.075433,0.107494,0.032443,'Overall Health'
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
-0.993053,-1.074754,-0.818835,'Smoking and Alcohol Use'
-0.066173,0.059316,-0.194602,'Nutrition/Physical Activity/Obesity'
1.132531,0.943427,1.260509,'Screenings and Vaccines'
1.783129,1.739591,1.764201,'Screenings and Vaccines'
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
-0.413753,-0.301735,-0.521786,'Overall Health'
-1.380738,-1.269166,-1.490425,'Smoking and Alcohol Use'
-0.78807,-0.861826,-0.663853,'Mental Health'
0.075433,0.107494,0.032443,'Overall Health'
-0.137472,-0.496147,0.29187,'Nutrition/Physical Activity/Obesity'
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
1.792041,1.582209,1.863217,'Screenings and Vaccines'
0.321512,0.429624,0.210074,'Screenings and Vaccines'
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,'Overall Health'
0.147722,-0.324879,0.6578,'Cognitive Decline'
0.075433,0.107494,0.032443,'Overall Health'
-1.255966,-1.195104,-1.292392,'Smoking and Alcohol Use'
0.075433,0.107494,0.032443,'Overall Health'
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
2.340148,2.364486,2.220537,'Overall Health'
-0.2044,-0.28392,-0.097691,Caregiving
-1.022543,-0.968484,-1.057809,'Mental Health'
-1.291615,-1.176589,-1.408629,'Overall Health'
-0.186489,-0.135096,-0.237652,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
0.963197,1.082293,0.842918,'Screenings and Vaccines'
0.285862,-0.301735,0.898884,'Cognitive Decline'
-0.003787,-0.03789,0.029261,'Overall Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
0.793864,0.119491,1.342305,'Cognitive Decline'
-0.190946,-0.135096,-0.250568,'Nutrition/Physical Activity/Obesity'
-1.104456,-1.097898,-1.081444,'Mental Health'
-1.022543,-0.968484,-1.057809,'Mental Health'
-0.908386,-0.829424,-0.982428,Caregiving
-0.222139,-0.52392,0.149803,'Screenings and Vaccines'
0.62453,0.40648,0.808477,'Overall Health'
-1.269334,-1.167331,-1.365578,'Mental Health'
-0.422665,-0.352652,-0.491651,'Mental Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
0.499758,0.559232,0.433937,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
-0.083998,-0.033261,-0.134331,'Screenings and Vaccines'
0.075433,0.107494,0.032443,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
-0.043893,-0.209158,0.132583,'Overall Health'
-1.434212,-1.296939,-1.576526,'Overall Health'
-0.124103,-0.260075,0.020651,Caregiving
0.45074,0.61015,0.29187,'Screenings and Vaccines'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
0.075433,0.107494,0.032443,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
-0.119647,0.00377,-0.246262,'Overall Health'
-1.247053,-1.134929,-1.361273,'Cognitive Decline'
1.390988,1.586838,1.195933,'Screenings and Vaccines'
-0.2044,-0.28392,-0.097691,Caregiving
0.075433,0.107494,0.032443,'Overall Health'
1.05232,0.809191,1.230373,'Screenings and Vaccines'
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
-0.253332,-0.1999,-0.306533,'Overall Health'
2.482745,2.730166,2.233452,'Screenings and Vaccines'
-1.394106,-1.283052,-1.50334,'Mental Health'
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
0.963197,1.059149,0.864443,'Overall Health'
1.555865,1.026747,1.828777,'Overall Health'
-0.569718,-0.810909,-0.216127,'Nutrition/Physical Activity/Obesity'
1.934638,2.054353,1.794336,'Overall Health'
1.047864,0.77216,1.247593,'Screenings and Vaccines'
-1.055439,-0.977548,-1.133105,'Mental Health'
0.214564,0.00377,0.429632,'Cognitive Decline'
-1.407475,-1.398774,-1.430154,'Overall Health'
-1.022543,-0.968484,-1.057809,'Mental Health'
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
-1.022543,-0.968484,-1.057809,'Mental Health'
-1.082176,-0.996063,-1.16324,'Smoking and Alcohol Use'
0.718109,0.832335,0.597529,'Screenings and Vaccines'
0.695828,0.651809,0.718071,'Screenings and Vaccines'
0.317056,0.32779,0.296175,'Screenings and Vaccines'
-0.248876,-0.153611,-0.345279,'Nutrition/Physical Activity/Obesity'
0.495302,0.559232,0.425327,'Screenings and Vaccines'
0.718109,0.239841,1.127052,'Screenings and Vaccines'
0.192283,-0.1999,0.601834,'Nutrition/Physical Activity/Obesity'
-1.095544,-1.019208,-1.167545,'Mental Health'
-0.970772,-0.884971,-1.055614,'Smoking and Alcohol Use'
-1.452036,-1.320083,-1.593746,'Overall Health'
-1.126737,-1.037723,-1.219206,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-1.022543,-0.968484,-1.057809,'Mental Health'
-0.979684,-0.954404,-0.986733,'Mental Health'
-1.518878,-1.41266,-1.606662,'Smoking and Alcohol Use'
-0.605368,-0.56558,-0.642328,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,'Overall Health'
-0.770245,-1.005321,-0.366804,'Overall Health'
1.546953,1.70256,1.385355,Caregiving
1.778673,1.188757,2.018199,'Screenings and Vaccines'
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
-1.416387,-1.296939,-1.546391,'Overall Health'
-0.823719,-0.838682,-0.78009,'Overall Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-0.404841,-0.556322,-0.216127,'Cognitive Decline'
0.094248,0.239841,-0.052535,'Overall Health'
-0.364735,-0.408199,-0.315143,Caregiving
-0.231051,-0.148983,-0.310838,'Nutrition/Physical Activity/Obesity'
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
1.729655,1.883085,1.570473,'Overall Health'
-0.360279,-0.232302,-0.491651,'Screenings and Vaccines'
0.33488,0.494428,0.175633,'Overall Health'
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
-0.81035,-0.699816,-0.926462,Caregiving
-0.444946,-0.389683,-0.495956,'Screenings and Vaccines'
-0.15084,-0.088808,-0.211822,'Nutrition/Physical Activity/Obesity'
0.628986,0.721242,0.528648,'Screenings and Vaccines'
-0.186489,-0.310993,-0.04823,'Overall Health'
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,'Overall Health'
1.627164,1.716446,1.514507,Caregiving
2.567411,2.781083,2.336774,'Screenings and Vaccines'
1.903445,1.776621,1.914878,'Screenings and Vaccines'
0.366073,0.475913,0.25743,'Screenings and Vaccines'
-1.465405,-1.352485,-1.589441,'Overall Health'
-1.282702,-1.259908,-1.253647,Caregiving
0.075433,0.107494,0.032443,'Overall Health'
-1.189123,-1.213619,-1.085749,'Overall Health'
-1.024246,-1.134929,-0.78009,'Cognitive Decline'
0.075433,0.107494,0.032443,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
-1.022543,-0.968484,-1.057809,'Mental Health'
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
-1.313895,-1.232135,-1.408629,'Overall Health'
0.718109,0.832335,0.601834,'Overall Health'
-0.217683,-0.551693,0.192854,'Cognitive Decline'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-0.462771,-0.449858,-0.474431,'Overall Health'
0.13881,0.225955,0.050787,'Overall Health'
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-1.469861,-1.324712,-1.615272,'Overall Health'
-1.104456,-1.093269,-1.085749,'Smoking and Alcohol Use'
0.075433,0.107494,0.032443,'Overall Health'
0.940917,1.105437,0.778342,'Screenings and Vaccines'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
0.120985,-1.255279,1.970844,'Cognitive Decline'
-1.38965,-1.255279,-1.533475,'Overall Health'
0.107616,0.179666,0.033566,'Overall Health'
0.976566,1.003603,0.933324,'Screenings and Vaccines'
1.74748,1.49889,1.845997,'Screenings and Vaccines'
-1.022543,-0.968484,-1.057809,'Mental Health'
0.075433,0.107494,0.032443,'Overall Health'
-0.20877,-0.352652,-0.035315,'Nutrition/Physical Activity/Obesity'
1.440005,1.596096,1.282034,'Screenings and Vaccines'
-1.420843,-1.315454,-1.533475,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
-0.899473,-0.773878,-1.034088,'Mental Health'
-0.814807,-1.093269,-0.293618,Caregiving
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
0.379442,0.522201,0.240209,'Screenings and Vaccines'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-0.204314,-0.260075,-0.138636,'Cognitive Decline'
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
0.432915,0.563861,0.304785,'Overall Health'
0.174459,-0.084179,0.442547,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,'Overall Health'
-0.600911,-0.486889,-0.715514,'Mental Health'
0.075433,0.107494,0.032443,'Overall Health'
1.074601,1.068406,1.062476,'Overall Health'
1.199373,1.369282,1.03234,'Overall Health'
-1.523335,-1.403403,-1.636797,'Smoking and Alcohol Use'
0.014037,-0.014746,0.042177,'Screenings and Vaccines'
0.054143,-0.519291,0.713766,'Cognitive Decline'
-1.022543,-0.968484,-1.057809,'Mental Health'
-0.20877,-0.204529,-0.203212,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,'Overall Health'
1.395444,1.355396,1.393965,'Screenings and Vaccines'
-1.022543,-0.968484,-1.057809,'Mental Health'
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,'Overall Health'
-1.336176,-1.347856,-1.197681,'Cognitive Decline'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-0.311262,-0.394312,-0.211822,'Nutrition/Physical Activity/Obesity'
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-0.418209,-0.306364,-0.530396,'Nutrition/Physical Activity/Obesity'
0.379442,0.119491,0.63197,'Cognitive Decline'
-0.453858,-0.505405,-0.384024,Caregiving
0.075433,0.107494,0.032443,'Overall Health'
0.495302,0.295388,0.670715,'Nutrition/Physical Activity/Obesity'
-0.667754,-0.611868,-0.719819,'Nutrition/Physical Activity/Obesity'
-0.395929,-0.463745,-0.310838,'Smoking and Alcohol Use'
0.075433,0.107494,0.032443,'Overall Health'
2.571868,2.813485,2.323859,'Overall Health'
-0.565262,-0.801651,-0.220432,'Smoking and Alcohol Use'
1.484567,1.563694,1.385355,'Overall Health'
-0.756877,-0.935888,-0.465821,'Mental Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
0.075433,0.107494,0.032443,'Overall Health'
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
-1.068807,-1.05161,-1.055614,Caregiving
0.040774,-0.121209,0.205769,'Nutrition/Physical Activity/Obesity'
-0.774701,-0.672043,-0.879106,'Mental Health'
0.490845,0.151893,0.804172,'Overall Health'
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
-0.957403,-0.84794,-1.064224,'Mental Health'
-1.425299,-1.29231,-1.563611,'Overall Health'
-1.327264,-1.246021,-1.395714,'Smoking and Alcohol Use'
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,'Overall Health'
-0.966316,-0.959032,-0.952292,'Mental Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
0.075433,0.107494,0.032443,'Overall Health'
-0.257788,-0.15824,-0.362499,'Nutrition/Physical Activity/Obesity'
1.243935,1.290592,1.178712,'Screenings and Vaccines'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-1.077719,-1.014579,-1.133105,'Smoking and Alcohol Use'
0.259126,-0.375797,0.929019,'Overall Health'
-0.623192,-0.560951,-0.681074,'Overall Health'
2.478288,2.725537,2.229147,'Screenings and Vaccines'
0.075433,0.107494,0.032443,'Overall Health'
-0.173121,-0.125838,-0.224737,'Overall Health'
-0.485052,-0.408199,-0.556227,'Mental Health'
-1.313895,-1.195104,-1.430154,'Smoking and Alcohol Use'
0.076423,0.207439,-0.05684,'Screenings and Vaccines'
-0.493964,-0.510033,-0.465821,'Cognitive Decline'
-1.022543,-0.968484,-1.057809,'Mental Health'
0.075433,0.107494,0.032443,'Overall Health'
1.63162,1.809023,1.454236,'Overall Health'
1.74748,1.906229,1.583388,'Overall Health'
-1.255966,-1.121042,-1.391409,'Mental Health'
-1.21586,-1.218248,-1.158935,'Nutrition/Physical Activity/Obesity'
-1.336176,-1.264537,-1.391409,'Nutrition/Physical Activity/Obesity'
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
0.5666,0.16578,0.929019,'Screenings and Vaccines'
0.424003,0.300016,0.532953,'Overall Health'
-0.2044,-0.28392,-0.097691,Caregiving
1.34197,1.355396,1.299254,'Screenings and Vaccines'
0.075433,0.107494,0.032443,'Overall Health'
-0.685578,-0.593353,-0.77148,'Mental Health'
-0.061717,-0.459116,0.399497,'Screenings and Vaccines'
1.471198,1.651642,1.290644,'Overall Health'
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
-0.944035,-0.834053,-1.051309,'Mental Health'
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
0.780495,0.475913,1.03234,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
-1.022543,-0.968484,-1.057809,'Mental Health'
-0.418209,-0.574837,-0.211822,'Cognitive Decline'
0.075433,0.107494,0.032443,'Overall Health'
-0.2044,-0.28392,-0.097691,Caregiving
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-1.046526,-1.005321,-1.072834,'Mental Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-0.645473,-0.931259,-0.190297,'Cognitive Decline'
1.03004,0.702727,1.269119,'Screenings and Vaccines'
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
0.075433,0.107494,0.032443,'Overall Health'
-1.327264,-1.195104,-1.4689,'Overall Health'
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
2.482745,2.748681,2.224842,'Overall Health'
1.497935,1.711817,1.286339,'Screenings and Vaccines'
-1.193579,-1.116414,-1.262257,'Mental Health'
-0.2044,-0.28392,-0.097691,Caregiving
0.075433,0.107494,0.032443,'Overall Health'
0.272494,0.350934,0.188549,'Nutrition/Physical Activity/Obesity'
-0.106279,-0.24156,0.042177,'Cognitive Decline'
0.214564,-0.019375,0.446852,'Nutrition/Physical Activity/Obesity'
-0.043893,-0.093436,0.007736,Caregiving
-0.324246,-0.3228,-0.315909,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,'Overall Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-1.238141,-1.121042,-1.356968,'Smoking and Alcohol Use'
-0.948491,-0.857198,-1.042699,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
2.513938,1.957147,2.422875,Caregiving
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
-1.242597,-1.116414,-1.374188,'Smoking and Alcohol Use'
2.375797,2.586671,2.160266,'Screenings and Vaccines'
-0.003787,-0.088808,0.089532,'Overall Health'
-0.182033,-0.024004,-0.336669,'Overall Health'
-0.859368,-0.940517,-0.719819,'Cognitive Decline'
1.364251,1.591467,1.144272,'Screenings and Vaccines'
-0.832631,-1.046981,-0.444295,Caregiving
-0.182033,-0.223044,-0.142941,'Cognitive Decline'
0.562144,0.647181,0.476988,'Screenings and Vaccines'
-1.022543,-0.968484,-1.057809,'Mental Health'
-0.199858,-0.278591,-0.104195,'Overall Health'
-0.832631,-0.718332,-0.947987,'Mental Health'
-0.944035,-0.857198,-1.029783,'Mental Health'
2.037129,1.827539,2.065555,'Overall Health'
-1.022543,-0.968484,-1.057809,'Mental Health'
0.075433,0.107494,0.032443,'Overall Health'
-1.336176,-1.241393,-1.425849,'Smoking and Alcohol Use'
-1.022543,-0.968484,-1.057809,'Mental Health'
-0.418209,-0.602611,-0.173076,'Overall Health'
-1.126737,-1.037723,-1.210596,'Mental Health'
0.673548,0.138006,1.135662,'Screenings and Vaccines'
0.793864,0.624036,0.929019,'Nutrition/Physical Activity/Obesity'
-1.001965,-0.935888,-1.064224,'Overall Health'
-1.022543,-0.968484,-1.057809,'Mental Health'
0.067511,0.114862,0.020651,'Nutrition/Physical Activity/Obesity'
-1.469861,-1.421918,-1.52917,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-1.420843,-1.287681,-1.563611,'Overall Health'
0.397266,0.337047,0.446852,'Cognitive Decline'
-0.280069,-0.181385,-0.384024,'Nutrition/Physical Activity/Obesity'
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
1.154812,1.299849,1.00651,'Overall Health'
-0.342455,-0.227673,-0.452905,'Nutrition/Physical Activity/Obesity'
-0.453858,-0.574837,-0.302228,'Nutrition/Physical Activity/Obesity'
1.021127,1.128582,0.907494,'Screenings and Vaccines'
1.453374,-0.329508,2.224842,'Cognitive Decline'
0.695828,0.235212,1.088306,'Cognitive Decline'
1.043408,0.836964,1.191628,'Overall Health'
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
2.259937,2.489465,2.031114,'Screenings and Vaccines'
1.359795,1.49889,1.217458,'Screenings and Vaccines'
2.077235,1.94326,2.06986,'Overall Health'
-0.542981,-0.80628,-0.160161,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
0.259126,-0.343395,0.894579,'Screenings and Vaccines'
-0.975228,-1.056238,-0.823141,'Mental Health'
-1.175755,-1.070125,-1.279477,'Cognitive Decline'
-1.166843,-1.097898,-1.232121,Caregiving
-0.2044,-0.28392,-0.097691,Caregiving
-0.422665,-0.366539,-0.474431,'Overall Health'
-0.828175,-0.732218,-0.926462,'Overall Health'
-1.269334,-1.222877,-1.288087,'Cognitive Decline'
0.250213,-0.24156,0.761122,'Screenings and Vaccines'
0.075433,0.107494,0.032443,'Overall Health'
0.807232,0.735129,0.855833,'Screenings and Vaccines'
0.201196,0.300016,0.098142,'Nutrition/Physical Activity/Obesity'
-0.609824,-0.500776,-0.724124,'Nutrition/Physical Activity/Obesity'
-1.474317,-1.389516,-1.572221,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
0.075433,0.107494,0.032443,'Overall Health'
-1.33172,-1.236764,-1.425849,'Overall Health'
-0.752421,-0.662786,-0.844666,'Nutrition/Physical Activity/Obesity'
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
-0.801438,-0.699816,-0.900632,'Smoking and Alcohol Use'
0.075433,0.107494,0.032443,'Overall Health'
2.068323,2.207105,1.914878,'Screenings and Vaccines'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
0.704741,0.193553,1.139967,Caregiving
-0.003787,-0.204529,0.214379,'Cognitive Decline'
-1.131193,-0.996063,-1.262257,'Cognitive Decline'
-1.349545,-1.218248,-1.490425,'Overall Health'
-0.92621,-0.829424,-1.025478,'Mental Health'
-0.306806,-0.186013,-0.43138,'Nutrition/Physical Activity/Obesity'
-0.168665,-0.116581,-0.224737,'Overall Health'
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
0.075433,0.107494,0.032443,'Overall Health'
-1.064351,-1.028465,-1.081444,'Overall Health'
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
0.637898,0.415738,0.825698,'Overall Health'
1.716287,1.466488,1.820166,Caregiving
-0.890561,-0.884971,-0.879106,Caregiving
1.934638,2.017322,1.820166,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
0.695828,0.20281,1.118442,'Overall Health'
-0.747964,-0.676672,-0.81453,'Overall Health'
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
0.522038,0.605521,0.429632,'Screenings and Vaccines'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-1.022543,-0.968484,-1.057809,'Mental Health'
0.646811,0.56849,0.705156,'Screenings and Vaccines'
0.075433,0.107494,0.032443,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
-0.2044,-0.28392,-0.097691,Caregiving
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
1.756392,1.503519,1.854607,'Screenings and Vaccines'
-1.407475,-1.320083,-1.481815,'Cognitive Decline'
-1.251509,-1.278423,-1.115885,'Screenings and Vaccines'
0.075433,0.107494,0.032443,'Overall Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-1.140106,-1.042352,-1.227816,'Overall Health'
-0.119647,-0.324879,0.111058,'Cognitive Decline'
-0.529613,-0.709074,-0.285008,'Overall Health'
-1.429755,-1.366372,-1.499035,'Overall Health'
-0.841544,-0.810909,-0.861886,'Overall Health'
-0.542981,-0.588724,-0.478736,'Overall Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-0.908386,-0.824796,-0.986733,'Nutrition/Physical Activity/Obesity'
