@relation 'Alzh_test-weka.filters.unsupervised.attribute.Remove-R1-5,13-18-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute Data_Value_Unit numeric
@attribute DataValueTypeID numeric
@attribute Data_Value_Type numeric
@attribute Data_Value numeric
@attribute Low_Confidence_Limit numeric
@attribute Class {'Overall Health','Cognitive Decline','Screenings and Vaccines',Caregiving,'Smoking and Alcohol Use','Mental Health','Nutrition/Physical Activity/Obesity'}

@data
1,1,1,-1.233685,-1.162702,'Overall Health'
1,1,1,-0.917298,-0.84794,'Mental Health'
1,1,1,0.147722,-0.357281,'Overall Health'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
2,2,2,-1.465405,-1.343227,'Overall Health'
1,1,1,-0.391472,-0.315621,'Overall Health'
1,1,1,1.872252,1.971033,'Screenings and Vaccines'
1,1,1,2.090603,1.883085,'Screenings and Vaccines'
1,1,1,-1.33172,-1.218248,'Mental Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-1.278246,-1.158073,'Overall Health'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,0.10316,-0.098065,'Cognitive Decline'
2,2,2,-1.443124,-1.33397,'Overall Health'
1,1,1,1.190461,1.235045,'Screenings and Vaccines'
1,1,1,0.441828,0.198182,'Screenings and Vaccines'
1,1,1,2.023761,2.077497,'Overall Health'
1,1,1,-0.970772,-1.079383,'Mental Health'
1,1,1,-0.761333,-0.672043,'Smoking and Alcohol Use'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,-0.574175,-0.491518,'Overall Health'
1,1,1,1.177092,-0.005488,'Screenings and Vaccines'
1,1,1,1.043408,0.832335,'Screenings and Vaccines'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,-1.073263,-0.986806,'Smoking and Alcohol Use'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.605368,-0.528549,'Overall Health'
1,1,1,-0.418209,-0.380425,'Nutrition/Physical Activity/Obesity'
1,1,1,0.504214,0.637923,'Overall Health'
1,1,1,-0.96186,-0.852569,'Mental Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.993053,-1.074754,'Smoking and Alcohol Use'
1,1,1,-0.066173,0.059316,'Nutrition/Physical Activity/Obesity'
1,1,1,1.132531,0.943427,'Screenings and Vaccines'
1,1,1,1.783129,1.739591,'Screenings and Vaccines'
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,-0.413753,-0.301735,'Overall Health'
1,1,1,-1.380738,-1.269166,'Smoking and Alcohol Use'
1,1,1,-0.78807,-0.861826,'Mental Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.137472,-0.496147,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
1,1,1,1.792041,1.582209,'Screenings and Vaccines'
1,1,1,0.321512,0.429624,'Screenings and Vaccines'
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
2,2,2,0.075433,0.107494,'Overall Health'
1,1,1,0.147722,-0.324879,'Cognitive Decline'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-1.255966,-1.195104,'Smoking and Alcohol Use'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,2.340148,2.364486,'Overall Health'
1,1,1,-0.2044,-0.28392,Caregiving
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,-1.291615,-1.176589,'Overall Health'
1,1,1,-0.186489,-0.135096,'Nutrition/Physical Activity/Obesity'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.963197,1.082293,'Screenings and Vaccines'
1,1,1,0.285862,-0.301735,'Cognitive Decline'
1,1,1,-0.003787,-0.03789,'Overall Health'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.793864,0.119491,'Cognitive Decline'
1,1,1,-0.190946,-0.135096,'Nutrition/Physical Activity/Obesity'
1,1,1,-1.104456,-1.097898,'Mental Health'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,-0.908386,-0.829424,Caregiving
1,1,1,-0.222139,-0.52392,'Screenings and Vaccines'
1,1,1,0.62453,0.40648,'Overall Health'
1,1,1,-1.269334,-1.167331,'Mental Health'
1,1,1,-0.422665,-0.352652,'Mental Health'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.499758,0.559232,'Overall Health'
2,2,2,0.075433,0.107494,'Overall Health'
1,1,1,-0.083998,-0.033261,'Screenings and Vaccines'
2,2,2,0.075433,0.107494,'Overall Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.043893,-0.209158,'Overall Health'
2,2,2,-1.434212,-1.296939,'Overall Health'
1,1,1,-0.124103,-0.260075,Caregiving
1,1,1,0.45074,0.61015,'Screenings and Vaccines'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.119647,0.00377,'Overall Health'
1,1,1,-1.247053,-1.134929,'Cognitive Decline'
1,1,1,1.390988,1.586838,'Screenings and Vaccines'
1,1,1,-0.2044,-0.28392,Caregiving
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,1.05232,0.809191,'Screenings and Vaccines'
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,-0.253332,-0.1999,'Overall Health'
1,1,1,2.482745,2.730166,'Screenings and Vaccines'
1,1,1,-1.394106,-1.283052,'Mental Health'
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,0.963197,1.059149,'Overall Health'
1,1,1,1.555865,1.026747,'Overall Health'
1,1,1,-0.569718,-0.810909,'Nutrition/Physical Activity/Obesity'
1,1,1,1.934638,2.054353,'Overall Health'
1,1,1,1.047864,0.77216,'Screenings and Vaccines'
1,1,1,-1.055439,-0.977548,'Mental Health'
1,1,1,0.214564,0.00377,'Cognitive Decline'
2,2,2,-1.407475,-1.398774,'Overall Health'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,-1.082176,-0.996063,'Smoking and Alcohol Use'
1,1,1,0.718109,0.832335,'Screenings and Vaccines'
1,1,1,0.695828,0.651809,'Screenings and Vaccines'
1,1,1,0.317056,0.32779,'Screenings and Vaccines'
1,1,1,-0.248876,-0.153611,'Nutrition/Physical Activity/Obesity'
1,1,1,0.495302,0.559232,'Screenings and Vaccines'
1,1,1,0.718109,0.239841,'Screenings and Vaccines'
1,1,1,0.192283,-0.1999,'Nutrition/Physical Activity/Obesity'
1,1,1,-1.095544,-1.019208,'Mental Health'
1,1,1,-0.970772,-0.884971,'Smoking and Alcohol Use'
2,2,2,-1.452036,-1.320083,'Overall Health'
1,1,1,-1.126737,-1.037723,'Nutrition/Physical Activity/Obesity'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,-0.979684,-0.954404,'Mental Health'
1,1,1,-1.518878,-1.41266,'Smoking and Alcohol Use'
1,1,1,-0.605368,-0.56558,'Nutrition/Physical Activity/Obesity'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.770245,-1.005321,'Overall Health'
1,1,1,1.546953,1.70256,Caregiving
1,1,1,1.778673,1.188757,'Screenings and Vaccines'
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
2,2,2,-1.416387,-1.296939,'Overall Health'
1,1,1,-0.823719,-0.838682,'Overall Health'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,-0.404841,-0.556322,'Cognitive Decline'
1,1,1,0.094248,0.239841,'Overall Health'
1,1,1,-0.364735,-0.408199,Caregiving
1,1,1,-0.231051,-0.148983,'Nutrition/Physical Activity/Obesity'
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,1.729655,1.883085,'Overall Health'
1,1,1,-0.360279,-0.232302,'Screenings and Vaccines'
1,1,1,0.33488,0.494428,'Overall Health'
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.81035,-0.699816,Caregiving
1,1,1,-0.444946,-0.389683,'Screenings and Vaccines'
1,1,1,-0.15084,-0.088808,'Nutrition/Physical Activity/Obesity'
1,1,1,0.628986,0.721242,'Screenings and Vaccines'
1,1,1,-0.186489,-0.310993,'Overall Health'
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
2,2,2,0.075433,0.107494,'Overall Health'
1,1,1,1.627164,1.716446,Caregiving
1,1,1,2.567411,2.781083,'Screenings and Vaccines'
1,1,1,1.903445,1.776621,'Screenings and Vaccines'
1,1,1,0.366073,0.475913,'Screenings and Vaccines'
2,2,2,-1.465405,-1.352485,'Overall Health'
1,1,1,-1.282702,-1.259908,Caregiving
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-1.189123,-1.213619,'Overall Health'
1,1,1,-1.024246,-1.134929,'Cognitive Decline'
2,2,2,0.075433,0.107494,'Overall Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
2,2,2,-1.313895,-1.232135,'Overall Health'
1,1,1,0.718109,0.832335,'Overall Health'
1,1,1,-0.217683,-0.551693,'Cognitive Decline'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,-0.462771,-0.449858,'Overall Health'
1,1,1,0.13881,0.225955,'Overall Health'
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
2,2,2,-1.469861,-1.324712,'Overall Health'
1,1,1,-1.104456,-1.093269,'Smoking and Alcohol Use'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,0.940917,1.105437,'Screenings and Vaccines'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.120985,-1.255279,'Cognitive Decline'
2,2,2,-1.38965,-1.255279,'Overall Health'
1,1,1,0.107616,0.179666,'Overall Health'
1,1,1,0.976566,1.003603,'Screenings and Vaccines'
1,1,1,1.74748,1.49889,'Screenings and Vaccines'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.20877,-0.352652,'Nutrition/Physical Activity/Obesity'
1,1,1,1.440005,1.596096,'Screenings and Vaccines'
2,2,2,-1.420843,-1.315454,'Overall Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.899473,-0.773878,'Mental Health'
1,1,1,-0.814807,-1.093269,Caregiving
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,0.379442,0.522201,'Screenings and Vaccines'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,-0.204314,-0.260075,'Cognitive Decline'
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,0.432915,0.563861,'Overall Health'
1,1,1,0.174459,-0.084179,'Nutrition/Physical Activity/Obesity'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.600911,-0.486889,'Mental Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,1.074601,1.068406,'Overall Health'
1,1,1,1.199373,1.369282,'Overall Health'
1,1,1,-1.523335,-1.403403,'Smoking and Alcohol Use'
1,1,1,0.014037,-0.014746,'Screenings and Vaccines'
1,1,1,0.054143,-0.519291,'Cognitive Decline'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,-0.20877,-0.204529,'Nutrition/Physical Activity/Obesity'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,1.395444,1.355396,'Screenings and Vaccines'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-1.336176,-1.347856,'Cognitive Decline'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,-0.311262,-0.394312,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,-0.418209,-0.306364,'Nutrition/Physical Activity/Obesity'
1,1,1,0.379442,0.119491,'Cognitive Decline'
1,1,1,-0.453858,-0.505405,Caregiving
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,0.495302,0.295388,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.667754,-0.611868,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.395929,-0.463745,'Smoking and Alcohol Use'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,2.571868,2.813485,'Overall Health'
1,1,1,-0.565262,-0.801651,'Smoking and Alcohol Use'
1,1,1,1.484567,1.563694,'Overall Health'
1,1,1,-0.756877,-0.935888,'Mental Health'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,-1.068807,-1.05161,Caregiving
1,1,1,0.040774,-0.121209,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.774701,-0.672043,'Mental Health'
1,1,1,0.490845,0.151893,'Overall Health'
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.957403,-0.84794,'Mental Health'
2,2,2,-1.425299,-1.29231,'Overall Health'
1,1,1,-1.327264,-1.246021,'Smoking and Alcohol Use'
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
2,2,2,0.075433,0.107494,'Overall Health'
1,1,1,-0.966316,-0.959032,'Mental Health'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.257788,-0.15824,'Nutrition/Physical Activity/Obesity'
1,1,1,1.243935,1.290592,'Screenings and Vaccines'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,-1.077719,-1.014579,'Smoking and Alcohol Use'
1,1,1,0.259126,-0.375797,'Overall Health'
1,1,1,-0.623192,-0.560951,'Overall Health'
1,1,1,2.478288,2.725537,'Screenings and Vaccines'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.173121,-0.125838,'Overall Health'
1,1,1,-0.485052,-0.408199,'Mental Health'
1,1,1,-1.313895,-1.195104,'Smoking and Alcohol Use'
1,1,1,0.076423,0.207439,'Screenings and Vaccines'
1,1,1,-0.493964,-0.510033,'Cognitive Decline'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,1.63162,1.809023,'Overall Health'
1,1,1,1.74748,1.906229,'Overall Health'
1,1,1,-1.255966,-1.121042,'Mental Health'
1,1,1,-1.21586,-1.218248,'Nutrition/Physical Activity/Obesity'
1,1,1,-1.336176,-1.264537,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
1,1,1,0.5666,0.16578,'Screenings and Vaccines'
1,1,1,0.424003,0.300016,'Overall Health'
1,1,1,-0.2044,-0.28392,Caregiving
1,1,1,1.34197,1.355396,'Screenings and Vaccines'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.685578,-0.593353,'Mental Health'
1,1,1,-0.061717,-0.459116,'Screenings and Vaccines'
1,1,1,1.471198,1.651642,'Overall Health'
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,-0.944035,-0.834053,'Mental Health'
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.780495,0.475913,'Overall Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,-0.418209,-0.574837,'Cognitive Decline'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.2044,-0.28392,Caregiving
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,-1.046526,-1.005321,'Mental Health'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,-0.645473,-0.931259,'Cognitive Decline'
1,1,1,1.03004,0.702727,'Screenings and Vaccines'
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,0.075433,0.107494,'Overall Health'
2,2,2,-1.327264,-1.195104,'Overall Health'
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,2.482745,2.748681,'Overall Health'
1,1,1,1.497935,1.711817,'Screenings and Vaccines'
1,1,1,-1.193579,-1.116414,'Mental Health'
1,1,1,-0.2044,-0.28392,Caregiving
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,0.272494,0.350934,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.106279,-0.24156,'Cognitive Decline'
1,1,1,0.214564,-0.019375,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.043893,-0.093436,Caregiving
1,1,1,-0.324246,-0.3228,'Nutrition/Physical Activity/Obesity'
2,2,2,0.075433,0.107494,'Overall Health'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,-1.238141,-1.121042,'Smoking and Alcohol Use'
1,1,1,-0.948491,-0.857198,'Overall Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,2.513938,1.957147,Caregiving
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,-1.242597,-1.116414,'Smoking and Alcohol Use'
1,1,1,2.375797,2.586671,'Screenings and Vaccines'
1,1,1,-0.003787,-0.088808,'Overall Health'
1,1,1,-0.182033,-0.024004,'Overall Health'
1,1,1,-0.859368,-0.940517,'Cognitive Decline'
1,1,1,1.364251,1.591467,'Screenings and Vaccines'
1,1,1,-0.832631,-1.046981,Caregiving
1,1,1,-0.182033,-0.223044,'Cognitive Decline'
1,1,1,0.562144,0.647181,'Screenings and Vaccines'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,-0.199858,-0.278591,'Overall Health'
1,1,1,-0.832631,-0.718332,'Mental Health'
1,1,1,-0.944035,-0.857198,'Mental Health'
1,1,1,2.037129,1.827539,'Overall Health'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-1.336176,-1.241393,'Smoking and Alcohol Use'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,-0.418209,-0.602611,'Overall Health'
1,1,1,-1.126737,-1.037723,'Mental Health'
1,1,1,0.673548,0.138006,'Screenings and Vaccines'
1,1,1,0.793864,0.624036,'Nutrition/Physical Activity/Obesity'
1,1,1,-1.001965,-0.935888,'Overall Health'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,0.067511,0.114862,'Nutrition/Physical Activity/Obesity'
2,2,2,-1.469861,-1.421918,'Overall Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
2,2,2,-1.420843,-1.287681,'Overall Health'
1,1,1,0.397266,0.337047,'Cognitive Decline'
1,1,1,-0.280069,-0.181385,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,1.154812,1.299849,'Overall Health'
1,1,1,-0.342455,-0.227673,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.453858,-0.574837,'Nutrition/Physical Activity/Obesity'
1,1,1,1.021127,1.128582,'Screenings and Vaccines'
1,1,1,1.453374,-0.329508,'Cognitive Decline'
1,1,1,0.695828,0.235212,'Cognitive Decline'
1,1,1,1.043408,0.836964,'Overall Health'
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,2.259937,2.489465,'Screenings and Vaccines'
1,1,1,1.359795,1.49889,'Screenings and Vaccines'
1,1,1,2.077235,1.94326,'Overall Health'
1,1,1,-0.542981,-0.80628,'Nutrition/Physical Activity/Obesity'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.259126,-0.343395,'Screenings and Vaccines'
1,1,1,-0.975228,-1.056238,'Mental Health'
1,1,1,-1.175755,-1.070125,'Cognitive Decline'
1,1,1,-1.166843,-1.097898,Caregiving
1,1,1,-0.2044,-0.28392,Caregiving
1,1,1,-0.422665,-0.366539,'Overall Health'
1,1,1,-0.828175,-0.732218,'Overall Health'
1,1,1,-1.269334,-1.222877,'Cognitive Decline'
1,1,1,0.250213,-0.24156,'Screenings and Vaccines'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,0.807232,0.735129,'Screenings and Vaccines'
1,1,1,0.201196,0.300016,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.609824,-0.500776,'Nutrition/Physical Activity/Obesity'
2,2,2,-1.474317,-1.389516,'Overall Health'
2,2,2,0.075433,0.107494,'Overall Health'
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-1.33172,-1.236764,'Overall Health'
1,1,1,-0.752421,-0.662786,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,-0.801438,-0.699816,'Smoking and Alcohol Use'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,2.068323,2.207105,'Screenings and Vaccines'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.704741,0.193553,Caregiving
1,1,1,-0.003787,-0.204529,'Cognitive Decline'
1,1,1,-1.131193,-0.996063,'Cognitive Decline'
2,2,2,-1.349545,-1.218248,'Overall Health'
1,1,1,-0.92621,-0.829424,'Mental Health'
1,1,1,-0.306806,-0.186013,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.168665,-0.116581,'Overall Health'
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-1.064351,-1.028465,'Overall Health'
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.637898,0.415738,'Overall Health'
1,1,1,1.716287,1.466488,Caregiving
1,1,1,-0.890561,-0.884971,Caregiving
1,1,1,1.934638,2.017322,'Overall Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,0.695828,0.20281,'Overall Health'
1,1,1,-0.747964,-0.676672,'Overall Health'
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,0.522038,0.605521,'Screenings and Vaccines'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,0.646811,0.56849,'Screenings and Vaccines'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.2044,-0.28392,Caregiving
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,1.756392,1.503519,'Screenings and Vaccines'
1,1,1,-1.407475,-1.320083,'Cognitive Decline'
1,1,1,-1.251509,-1.278423,'Screenings and Vaccines'
